Timestamp,Antenna_ID,RSSI,Phase,Platform_ID,RSSI_KF,Phase_KF
2025-03-28 19:06:21.632889+00:00,25,-70.5,2.067806102,K1,-65.27410353202758,4.2847783315399495
2025-03-28 19:06:21.893312+00:00,1,-61.0,5.773903686,K1,-64.86752976704109,4.426431264690243
2025-03-28 19:06:22.009121+00:00,9,-61.5,0.245436926,K1,-64.54719376071124,4.028714504454844
2025-03-28 19:06:22.219077+00:00,17,-65.5,5.025321061,K1,-64.6378293798785,4.123516625383489
2025-03-28 19:06:22.615844+00:00,9,-62.0,5.325981296,K1,-64.38690606594079,4.237900983350579
2025-03-28 19:06:23.363621+00:00,9,-68.5,0.813009818,K1,-64.77816380548374,3.9121084784822835
2025-03-28 19:06:23.696827+00:00,17,-67.5,5.847534763,K1,-65.03707826110903,4.096215752780567
2025-03-28 19:06:24.009503+00:00,9,-59.5,3.681553891,K1,-64.5103641235654,4.0567710755337165
2025-03-28 19:06:24.252954+00:00,9,-69.0,6.252505691,K1,-64.93744038599618,4.265640159502274
2025-03-28 19:06:24.508671+00:00,17,-75.0,0.497009775,K1,-65.89464058412194,3.9071494882332853
2025-03-28 19:06:24.868311+00:00,9,-59.0,3.460660657,K1,-65.23878843652889,3.8646772730006242
2025-03-28 19:06:25.518130+00:00,9,-56.5,4.246058821,K1,-64.40751186836987,3.9009561629958176
2025-03-28 19:06:26.185977+00:00,9,-54.5,4.301282129,K1,-63.46506057494953,3.939037139275533
2025-03-28 19:06:26.890784+00:00,9,-54.0,4.313553976,K1,-62.56469742629244,3.974663024146337
2025-03-28 19:06:27.623465+00:00,9,-49.5,3.963806356,K1,-61.321919103022005,3.973630284436035
2025-03-28 19:06:28.503448+00:00,9,-49.0,3.736777199,K1,-60.14979750979553,3.9510996531649853
2025-03-28 19:06:29.113142+00:00,9,-49.0,3.779728661,K1,-59.089173891667016,3.9347980009069405
2025-03-28 19:06:29.786647+00:00,9,-49.0,3.675417968,K1,-58.12944201245517,3.910124495515442
2025-03-28 19:06:30.416403+00:00,9,-49.0,3.755184969,K1,-57.261004553367876,3.895385885145204
2025-03-28 19:06:31.144298+00:00,9,-47.5,4.14788405,K1,-56.3324897568555,3.919404753375217
2025-03-28 19:06:31.805899+00:00,9,-58.0,3.546563582,K1,-56.491111538622974,3.8839382660400124
2025-03-28 19:06:32.126585+00:00,9,-53.0,6.17273869,K1,-56.15901982591416,4.10166022777984
2025-03-28 19:06:32.671822+00:00,9,-54.5,3.614058736,K1,-56.001205694423234,4.055277173920606
2025-03-28 19:06:33.278178+00:00,9,-54.0,3.706097584,K1,-55.81084115889029,4.022061492675018
2025-03-28 19:06:33.498564+00:00,17,-72.5,6.240233845,K1,-57.398396091437576,4.233064964611497
2025-03-28 19:06:33.907629+00:00,9,-51.5,3.534291735,K1,-56.83731162347665,4.166594215668229
2025-03-28 19:06:34.189110+00:00,17,-74.5,6.000932842,K1,-58.51747347711809,4.3410855343691885
2025-03-28 19:06:34.354623+00:00,25,-71.5,5.565282298,K1,-59.75243529961319,4.457537155988561
2025-03-28 19:06:34.666501+00:00,9,-51.0,2.926835343,K1,-58.91986057466809,4.311929265464854
2025-03-28 19:06:34.960553+00:00,17,-75.0,6.092971689,K1,-60.44948258280977,4.481350787033354
2025-03-28 19:06:35.375513+00:00,9,-51.0,2.859340189,K1,-59.550601289439456,4.327057155456857
2025-03-28 19:06:35.604620+00:00,17,-74.5,5.884350302,K1,-60.972661675317376,4.475194544510089
2025-03-28 19:06:36.247991+00:00,9,-51.0,2.951379036,K1,-60.02401301159463,4.330241713162575
2025-03-28 19:06:36.520786+00:00,17,-74.5,6.080699843,K1,-61.40104014434168,4.496753906179496
2025-03-28 19:06:36.877134+00:00,9,-51.0,2.932971266,K1,-60.4116420121783,4.347999204550465
2025-03-28 19:06:37.151281+00:00,17,-74.0,5.737088147,K1,-61.70423350550429,4.480136181813846
2025-03-28 19:06:37.664809+00:00,9,-51.5,2.951379036,K1,-60.73355658950398,4.334713277603396
2025-03-28 19:06:38.020644+00:00,17,-75.5,6.043884304,K1,-62.13821336673881,4.497298038127037
2025-03-28 19:06:38.178187+00:00,25,-72.5,5.546874529,K1,-63.123877511723514,4.597138919925502
2025-03-28 19:06:38.493594+00:00,9,-51.5,2.957514959,K1,-62.01815707040287,4.441169818578216
2025-03-28 19:06:38.900613+00:00,17,-76.5,5.338253142,K1,-63.395741249098855,4.526504799721548
2025-03-28 19:06:39.327109+00:00,9,-52.0,3.337942194,K1,-62.31172225195948,4.41344287459285
2025-03-28 19:06:39.590466+00:00,17,-75.5,5.387340527,K1,-63.56625614369354,4.506084812787284
2025-03-28 19:06:40.106811+00:00,9,-56.5,3.061825653,K1,-62.89407907938697,4.368699772904445
2025-03-28 19:06:40.782542+00:00,9,-53.5,2.736621726,K1,-62.00046803995675,4.2134484760396225
2025-03-28 19:06:41.374779+00:00,9,-54.0,2.417553722,K1,-61.23942414191235,4.042614127690774
2025-03-28 19:06:42.068866+00:00,9,-56.0,2.859340189,K1,-60.74102432923208,3.930055286600717
2025-03-28 19:06:42.563546+00:00,1,-62.5,1.153553552,K1,-60.908346752665416,3.6659407757403017
2025-03-28 19:06:42.728132+00:00,9,-55.5,2.755029495,K1,-60.393878189817876,3.579290411236007
2025-03-28 19:06:43.341253+00:00,1,-62.5,1.153553552,K1,-60.59422286267604,3.348542381775355
2025-03-28 19:06:43.449907+00:00,9,-55.5,2.785709111,K1,-60.10963531035344,3.29500291080932
2025-03-28 19:06:44.218646+00:00,9,-55.0,3.141592654,K1,-59.62358165014812,3.2804097721005516
2025-03-28 19:06:44.913790+00:00,9,-57.0,2.656854725,K1,-59.37401365038929,3.2210941468995506
2025-03-28 19:06:45.689484+00:00,9,-55.5,2.865476112,K1,-59.00549840417559,3.1872660090777156
2025-03-28 19:06:47.036902+00:00,9,-56.5,1.742602175,K1,-58.767163063976156,3.0498424745845747
2025-03-28 19:06:47.324166+00:00,17,-74.5,5.902758072,K1,-60.26374794992155,3.3212258481828565
2025-03-28 19:06:47.847931+00:00,9,-55.5,1.767145868,K1,-59.810596797888586,3.173394111328932
2025-03-28 19:06:48.522263+00:00,9,-56.0,1.681242944,K1,-59.44811407482076,3.0314533479655865
2025-03-28 19:06:49.150804+00:00,9,-55.0,1.871456561,K1,-59.02498757052864,2.92110874411713
2025-03-28 19:06:49.853554+00:00,9,-56.0,1.527844865,K1,-58.73723586391431,2.7885746263290048
2025-03-28 19:06:50.567714+00:00,9,-55.5,1.638291481,K1,-58.42929405495287,2.679154031883297
2025-03-28 19:06:51.283642+00:00,9,-55.5,1.638291481,K1,-58.150645186540956,2.580142062946422
2025-03-28 19:06:51.997037+00:00,9,-56.0,1.773281791,K1,-57.94606523098071,2.503389542534805
2025-03-28 19:06:52.611813+00:00,9,-55.5,1.711922559,K1,-57.71338346674401,2.4281013074822435
2025-03-28 19:06:53.213731+00:00,9,-56.0,1.748738098,K1,-57.55039799816101,2.3634769351892553
2025-03-28 19:06:53.882915+00:00,9,-55.5,1.681242944,K1,-57.35535404857337,2.2985794800103876
2025-03-28 19:06:54.485319+00:00,9,-55.5,1.67510702,K1,-57.17886363947146,2.2392717108998945
2025-03-28 19:06:55.129170+00:00,9,-57.0,2.104621641,K1,-57.16184924972302,2.226463133507075
2025-03-28 19:06:55.566055+00:00,17,-75.5,0.006135923,K1,-58.90626440896313,2.015254680854162
2025-03-28 19:06:55.932847+00:00,9,-59.0,1.981903178,K1,-58.91518099974656,2.0120821217474942
2025-03-28 19:06:56.563549+00:00,9,-60.0,3.288854809,K1,-59.01837432249996,2.133535023999013
2025-03-28 19:06:57.208909+00:00,9,-54.5,1.920543946,K1,-58.58856431762958,2.1132742643235174
2025-03-28 19:06:57.834719+00:00,9,-56.0,1.589204096,K1,-58.34232733889426,2.0634221304536258
2025-03-28 19:06:58.462538+00:00,9,-57.5,2.098485718,K1,-58.26220101650664,2.0667575514830507
